path,name,dataset,language,feature_extractor,classifier,repeat,WSS@95%,RRF@10%,ATD
D:\Thesis\output\DE_EN\doc2vec\logistic,Appenzeller-Herzog_2020_DE_EN_13.h5,Appenzeller-Herzog_2020,DE_EN,doc2vec,logistic,5,71.74007534,78.57142857,8.222771867
D:\Thesis\output\DE_EN\doc2vec\logistic,Appenzeller-Herzog_2020_DE_EN_14.h5,Appenzeller-Herzog_2020,DE_EN,doc2vec,logistic,6,70.05940307,71.42857143,8.731941052
D:\Thesis\output\DE_EN\doc2vec\logistic,Appenzeller-Herzog_2020_DE_EN_15.h5,Appenzeller-Herzog_2020,DE_EN,doc2vec,logistic,7,70.32019704,78.57142857,7.758103241
D:\Thesis\output\DE_EN\doc2vec\logistic,Appenzeller-Herzog_2020_DE_EN_2.h5,Appenzeller-Herzog_2020,DE_EN,doc2vec,logistic,8,79.73775717,78.57142857,8.13066606
D:\Thesis\output\DE_EN\doc2vec\logistic,Appenzeller-Herzog_2020_DE_EN_3.h5,Appenzeller-Herzog_2020,DE_EN,doc2vec,logistic,9,73.97131266,71.42857143,7.359668005
D:\Thesis\output\DE_EN\doc2vec\logistic,Appenzeller-Herzog_2020_DE_EN_4.h5,Appenzeller-Herzog_2020,DE_EN,doc2vec,logistic,10,68.7264561,35.71428571,13.87020325
D:\Thesis\output\DE_EN\doc2vec\logistic,Appenzeller-Herzog_2020_DE_EN_5.h5,Appenzeller-Herzog_2020,DE_EN,doc2vec,logistic,11,71.65314402,85.71428571,6.899138966
D:\Thesis\output\DE_EN\doc2vec\logistic,Appenzeller-Herzog_2020_DE_EN_6.h5,Appenzeller-Herzog_2020,DE_EN,doc2vec,logistic,12,75.50709939,82.14285714,8.129631163
D:\Thesis\output\DE_EN\doc2vec\logistic,Appenzeller-Herzog_2020_DE_EN_7.h5,Appenzeller-Herzog_2020,DE_EN,doc2vec,logistic,13,71.82700666,71.42857143,8.735045742
D:\Thesis\output\DE_EN\doc2vec\logistic,Appenzeller-Herzog_2020_DE_EN_8.h5,Appenzeller-Herzog_2020,DE_EN,doc2vec,logistic,14,76.08664155,82.14285714,8.011652937
D:\Thesis\output\DE_EN\doc2vec\logistic,Appenzeller-Herzog_2020_DE_EN_9.h5,Appenzeller-Herzog_2020,DE_EN,doc2vec,logistic,15,74.84062591,78.57142857,7.750858964
D:\Thesis\output\DE_EN\doc2vec\logistic,Hall_2012_DE_EN_1.h5,Hall_2012,DE_EN,doc2vec,logistic,1,89.0057725,99.02912621,2.646445669
D:\Thesis\output\DE_EN\doc2vec\logistic,Hall_2012_DE_EN_10.h5,Hall_2012,DE_EN,doc2vec,logistic,2,89.70169797,98.05825243,2.561661765
D:\Thesis\output\DE_EN\doc2vec\logistic,Hall_2012_DE_EN_11.h5,Hall_2012,DE_EN,doc2vec,logistic,3,89.74659638,99.02912621,2.339131259
D:\Thesis\output\DE_EN\doc2vec\logistic,Hall_2012_DE_EN_12.h5,Hall_2012,DE_EN,doc2vec,logistic,4,89.91496545,98.05825243,2.434594884
D:\Thesis\output\DE_EN\doc2vec\logistic,Hall_2012_DE_EN_13.h5,Hall_2012,DE_EN,doc2vec,logistic,5,89.69047336,98.05825243,2.324092469
D:\Thesis\output\DE_EN\doc2vec\logistic,Hall_2012_DE_EN_14.h5,Hall_2012,DE_EN,doc2vec,logistic,6,89.69047336,98.05825243,2.428601164
D:\Thesis\output\DE_EN\doc2vec\logistic,Hall_2012_DE_EN_15.h5,Hall_2012,DE_EN,doc2vec,logistic,7,89.44353207,99.02912621,2.306220283
D:\Thesis\output\DE_EN\doc2vec\logistic,Hall_2012_DE_EN_2.h5,Hall_2012,DE_EN,doc2vec,logistic,8,89.72414718,99.02912621,2.318861585
